Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Type_L,Type_M,Temp_diff,Power,Wear_per_speed
298.9,309.0,1410,65.7,191,1,True,False,10.100000000000023,92637.0,0.13536498936924168
298.9,309.0,1924,22.6,193,0,False,True,10.100000000000023,43482.4,0.10025974025974026
298.9,309.1,1452,45.5,196,0,True,False,10.200000000000045,66066.0,0.1348933241569167
298.9,309.1,1369,44.4,198,0,True,False,10.200000000000045,60783.6,0.14452554744525548
299.0,309.1,1592,35.0,200,0,True,False,10.100000000000023,55720.0,0.12554927809165098
298.9,309.0,1601,32.3,202,0,True,False,10.100000000000023,51712.299999999996,0.12609238451935081
298.8,308.9,1379,46.7,204,0,True,False,10.099999999999966,64399.3,0.14782608695652175
298.8,308.9,1461,47.9,206,0,True,False,10.099999999999966,69981.9,0.1409028727770178
298.8,308.9,1455,41.3,208,1,True,False,10.099999999999966,60091.49999999999,0.14285714285714285
298.8,308.9,1398,51.5,0,0,True,False,10.099999999999966,71997.0,0.0
298.8,308.9,1402,37.9,2,0,True,False,10.099999999999966,53135.799999999996,0.0014255167498218105
298.8,308.8,1445,49.9,4,0,False,False,10.0,72105.5,0.0027662517289073307
298.9,308.9,1450,47.5,9,0,True,False,10.0,68875.0,0.006202618883528601
298.9,308.9,1453,40.8,11,0,True,False,10.0,59282.399999999994,0.007565337001375516
299.0,309.0,1469,40.1,13,0,True,False,10.0,58906.9,0.008843537414965987
298.9,308.9,1422,47.6,15,0,True,False,10.0,67687.2,0.010541110330288124
299.0,309.0,1804,26.8,17,0,False,True,10.0,48347.200000000004,0.009418282548476454
299.0,309.0,1436,43.9,20,0,False,False,10.0,63040.4,0.013917884481558803
299.0,309.0,1544,31.8,25,0,True,False,10.0,49099.200000000004,0.016181229773462782
299.0,309.0,1419,45.2,27,0,False,True,10.0,64138.8,0.019014084507042252
298.9,308.9,1487,39.5,30,0,False,True,10.0,58736.5,0.020161290322580645
298.9,308.9,1753,25.8,33,0,True,False,10.0,45227.4,0.018814139110604332
298.9,308.9,1830,24.9,35,0,True,False,10.0,45567.0,0.019115237575095576
298.9,308.9,1727,27.1,37,0,False,True,10.0,46801.700000000004,0.02141203703703704
299.1,309.0,1450,43.0,40,0,True,False,9.899999999999977,62350.0,0.027567195037904894
299.0,308.9,1622,31.9,42,0,True,False,9.899999999999977,51741.799999999996,0.025878003696857672
299.0,309.0,1351,52.2,44,0,False,True,10.0,70522.2,0.03254437869822485
299.0,309.0,1575,35.3,47,0,False,True,10.0,55597.49999999999,0.02982233502538071
298.9,308.9,1750,29.9,50,0,False,True,10.0,52325.0,0.028555111364934323
298.9,308.8,1529,32.7,53,0,True,False,9.900000000000034,49998.3,0.034640522875816995
298.8,308.8,1523,44.4,55,0,True,False,10.0,67621.2,0.03608923884514436
298.8,308.9,1852,25.0,57,0,True,False,10.099999999999966,46300.0,0.03076092822450081
298.8,308.8,1991,20.7,59,0,True,False,10.0,41213.7,0.02961847389558233
298.8,308.8,1555,40.6,61,0,True,False,10.0,63133.0,0.03920308483290488
298.8,308.8,1441,40.5,63,0,False,True,10.0,58360.5,0.043689320388349516
298.8,308.7,1450,43.4,66,0,True,False,9.899999999999977,62930.0,0.04548587181254307
298.8,308.7,1591,31.1,68,0,True,False,9.899999999999977,49480.100000000006,0.04271356783919598
298.8,308.7,1445,48.5,70,0,True,False,9.899999999999977,70082.5,0.048409405255878286
298.8,308.8,1497,46.8,72,0,False,True,10.0,70059.59999999999,0.04806408544726302
298.9,308.8,1621,32.7,75,0,False,False,9.900000000000034,53006.700000000004,0.04623921085080148
298.9,308.7,1572,34.1,80,0,True,False,9.800000000000011,53605.200000000004,0.0508582326764145
298.8,308.6,1872,22.5,82,0,True,False,9.800000000000011,42120.0,0.04378003203416978
298.7,308.6,1499,43.5,84,0,False,False,9.900000000000034,65206.5,0.056
298.8,308.7,1498,39.5,89,0,False,True,9.899999999999977,59171.0,0.059372915276851235
298.8,308.6,1486,41.9,92,0,False,True,9.800000000000011,62263.4,0.06186953597848016
298.8,308.6,1680,29.4,95,0,True,False,9.800000000000011,49392.0,0.05651397977394408
298.8,308.6,1431,45.7,97,0,True,False,9.800000000000011,65396.700000000004,0.06773743016759777
298.9,308.7,1564,34.1,99,0,True,False,9.800000000000011,53332.4,0.06325878594249201
298.8,308.6,1599,33.0,101,0,True,False,9.800000000000011,52767.0,0.063125
298.8,308.6,1707,28.1,103,0,False,True,9.800000000000011,47966.700000000004,0.06030444964871194
298.7,308.5,1467,40.7,106,0,True,False,9.800000000000011,59706.9,0.07220708446866485
298.9,308.7,1433,44.7,108,0,True,False,9.800000000000011,64055.100000000006,0.07531380753138076
298.9,308.7,1558,41.2,110,0,True,False,9.800000000000011,64189.600000000006,0.07055805003207184
299.0,308.8,1310,50.7,112,0,True,False,9.800000000000011,66417.0,0.08543096872616324
298.9,308.7,1546,43.4,114,0,True,False,9.800000000000011,67096.4,0.07369101486748546
298.9,308.7,1727,29.4,116,0,True,False,9.800000000000011,50773.799999999996,0.06712962962962964
298.9,308.6,1560,32.2,118,0,True,False,9.700000000000045,50232.00000000001,0.07559256886611147
299.0,308.6,1329,60.5,120,0,True,False,9.600000000000023,80404.5,0.09022556390977443
298.9,308.6,1413,46.5,122,0,True,False,9.700000000000045,65704.5,0.08628005657708628
299.0,308.6,1587,38.6,124,0,True,False,9.600000000000023,61258.200000000004,0.07808564231738035
298.9,308.5,1559,34.3,126,0,True,False,9.600000000000023,53473.7,0.08076923076923077
298.8,308.4,1473,41.1,128,0,True,False,9.599999999999966,60540.3,0.08683853459972862
298.8,308.4,1737,27.7,130,0,True,False,9.599999999999966,48114.9,0.07479861910241657
298.7,308.4,1441,43.2,132,0,False,True,9.699999999999989,62251.200000000004,0.09153952843273232
298.7,308.4,1430,49.6,135,0,False,True,9.699999999999989,70928.0,0.09433962264150944
298.8,308.4,1369,53.0,138,0,True,False,9.599999999999966,72557.0,0.10072992700729927
298.8,308.5,1711,28.5,140,0,False,True,9.699999999999989,48763.5,0.08177570093457943
298.7,308.5,1420,45.7,143,0,False,False,9.800000000000011,64894.00000000001,0.10063335679099226
298.7,308.6,1297,55.3,148,0,True,False,9.900000000000034,71724.09999999999,0.1140215716486903
298.8,308.6,1449,49.4,150,0,False,False,9.800000000000011,71580.59999999999,0.10344827586206896
298.8,308.6,1268,55.8,155,0,True,False,9.800000000000011,70754.4,0.12214342001576044
298.8,308.6,1511,36.1,157,0,True,False,9.800000000000011,54547.1,0.10383597883597884
298.7,308.5,1544,35.2,159,0,True,False,9.800000000000011,54348.8,0.1029126213592233
298.6,308.4,1778,28.2,161,0,False,True,9.799999999999955,50139.6,0.09050028105677346
298.6,308.4,1407,50.5,164,0,False,False,9.799999999999955,71053.5,0.11647727272727272
298.6,308.4,1391,42.4,169,0,False,True,9.799999999999955,58978.4,0.12140804597701149
298.5,308.4,1513,33.6,172,0,True,False,9.899999999999977,50836.8,0.11360634081902246
298.5,308.4,1612,36.1,174,0,False,False,9.899999999999977,58193.200000000004,0.1078735275883447
298.4,308.4,1515,40.1,179,0,True,False,10.0,60751.5,0.11807387862796834
298.3,308.3,1379,48.0,181,0,False,True,10.0,66192.0,0.13115942028985508
298.4,308.3,1473,39.9,184,0,True,False,9.900000000000034,58772.7,0.1248303934871099
298.4,308.3,1422,42.7,186,0,True,False,9.900000000000034,60719.4,0.13070976809557272
298.4,308.2,1463,37.6,188,0,False,True,9.800000000000011,55008.8,0.1284153005464481
298.4,308.2,1584,41.0,191,0,False,True,9.800000000000011,64944.0,0.12050473186119874
298.4,308.2,1850,27.0,194,0,True,False,9.800000000000011,49950.0,0.10480821177741761
298.4,308.2,1528,36.2,196,0,True,False,9.800000000000011,55313.600000000006,0.12818835840418574
298.4,308.2,1987,19.8,198,0,False,False,9.800000000000011,39342.6,0.09959758551307847
298.4,308.1,1495,46.0,203,0,False,True,9.700000000000045,68770.0,0.1356951871657754
298.4,308.2,1478,43.5,206,0,False,False,9.800000000000011,64293.0,0.13928329952670723
298.4,308.2,1499,40.0,211,0,False,True,9.800000000000011,59960.0,0.14066666666666666
298.4,308.2,1471,47.0,214,0,True,False,9.800000000000011,69137.0,0.1453804347826087
298.4,308.2,1282,60.7,216,1,True,False,9.800000000000011,77817.40000000001,0.16835541699142634
298.3,308.1,1412,52.3,218,1,True,False,9.800000000000011,73847.59999999999,0.1542816702052371
298.3,308.1,1586,35.5,0,0,True,False,9.800000000000011,56303.0,0.0
298.4,308.2,1468,43.8,2,0,False,True,9.800000000000011,64298.399999999994,0.0013614703880190605
298.5,308.3,1440,43.6,5,0,False,True,9.800000000000011,62784.0,0.0034698126301179735
298.5,308.4,1733,26.0,8,0,True,False,9.899999999999977,45058.0,0.00461361014994233
298.4,308.2,1612,32.6,10,0,False,False,9.800000000000011,52551.200000000004,0.006199628022318661
298.4,308.3,1458,42.9,15,0,False,False,9.900000000000034,62548.2,0.01028101439342015
298.4,308.3,1433,62.3,20,1,True,False,9.900000000000034,89275.9,0.01394700139470014
298.4,308.3,1318,59.1,22,0,True,False,9.900000000000034,77893.8,0.016679302501895376
298.4,308.2,1610,35.0,24,0,False,True,9.800000000000011,56350.0,0.0148975791433892
298.2,308.1,1462,50.8,27,0,True,False,9.900000000000034,74269.59999999999,0.01845522898154477
298.1,308.0,1924,20.8,29,0,False,True,9.899999999999977,40019.200000000004,0.015064935064935066
298.2,308.0,1591,33.7,32,0,False,True,9.800000000000011,53616.700000000004,0.020100502512562814
298.2,308.1,1306,58.3,35,0,True,False,9.900000000000034,76139.8,0.026778882938026015
298.2,308.1,1382,43.5,37,0,True,False,9.900000000000034,60117.0,0.02675343456254519
298.2,308.1,1618,34.7,39,0,True,False,9.900000000000034,56144.600000000006,0.024088943792464484
298.2,308.2,1988,21.4,41,0,True,False,10.0,42543.2,0.020613373554550025
298.2,308.2,1436,50.2,43,0,True,False,10.0,72087.2,0.029923451635351428
298.2,308.3,1304,49.8,45,0,True,False,10.100000000000023,64939.2,0.034482758620689655
298.2,308.3,1475,49.9,47,0,True,False,10.100000000000023,73602.5,0.03184281842818428
298.2,308.3,1824,24.2,49,0,False,False,10.100000000000023,44140.799999999996,0.02684931506849315
298.1,308.2,1342,48.1,54,0,False,True,10.099999999999966,64550.200000000004,0.040208488458674606
298.1,308.2,1485,40.7,57,0,True,False,10.099999999999966,60439.50000000001,0.03835800807537012
298.2,308.2,1667,30.6,59,0,True,False,10.0,51010.200000000004,0.03537170263788969
298.2,308.2,1446,38.2,61,0,True,False,10.0,55237.200000000004,0.042156185210780926
298.1,308.3,1301,56.0,63,0,True,False,10.199999999999989,72856.0,0.04838709677419355
298.2,308.4,1379,43.1,65,0,True,False,10.199999999999989,59434.9,0.04710144927536232
298.3,308.5,1606,33.6,67,0,True,False,10.199999999999989,53961.600000000006,0.04169259489732421
298.3,308.4,1539,43.4,69,0,False,True,10.099999999999966,66792.59999999999,0.044805194805194806
298.2,308.4,1477,49.9,72,0,True,False,10.199999999999989,73702.3,0.04871447902571042
298.2,308.4,1666,34.6,74,0,True,False,10.199999999999989,57643.600000000006,0.04439112177564487
298.2,308.4,1398,51.8,76,0,False,False,10.199999999999989,72416.4,0.054324517512508934
298.2,308.4,1678,34.6,81,0,False,False,10.199999999999989,58058.8,0.048243001786777845
298.2,308.5,2678,10.7,86,1,False,True,10.300000000000011,28654.6,0.03210153042179918
298.3,308.5,1453,42.9,89,0,True,False,10.199999999999989,62333.7,0.061210453920220086
298.3,308.6,1432,49.5,91,0,False,False,10.300000000000011,70884.0,0.06350314026517795
298.4,308.6,1527,40.9,96,0,False,True,10.200000000000045,62454.299999999996,0.06282722513089005
298.4,308.7,1588,35.0,99,0,True,False,10.300000000000011,55580.0,0.062303335431088736
298.4,308.6,1433,47.1,101,0,True,False,10.200000000000045,67494.3,0.07043235704323571
298.4,308.6,1609,35.0,103,0,True,False,10.200000000000045,56315.0,0.06397515527950311
298.3,308.5,1575,41.2,105,0,True,False,10.199999999999989,64890.00000000001,0.06662436548223351
298.4,308.5,1636,35.7,107,0,False,True,10.100000000000023,58405.200000000004,0.06536346976175932
298.4,308.5,1490,37.9,110,0,True,False,10.100000000000023,56471.0,0.07377598926894702
298.4,308.5,1741,32.8,112,0,True,False,10.100000000000023,57104.799999999996,0.0642939150401837
298.5,308.6,1344,53.0,114,0,False,True,10.100000000000023,71232.0,0.08475836431226766
298.5,308.7,1609,35.3,117,0,True,False,10.199999999999989,56797.7,0.07267080745341616
298.4,308.7,1421,60.7,119,1,False,True,10.300000000000011,86254.7,0.08368495077355836
298.4,308.6,1591,36.7,122,0,True,False,10.200000000000045,58389.700000000004,0.07663316582914573
298.4,308.6,1477,44.0,124,0,True,False,10.200000000000045,64988.0,0.08389715832205684
298.4,308.7,1523,36.1,126,0,True,False,10.300000000000011,54980.3,0.08267716535433071
298.5,308.7,1575,33.9,128,0,True,False,10.199999999999989,53392.5,0.08121827411167512
298.4,308.7,1344,52.9,130,0,False,False,10.300000000000011,71097.59999999999,0.09665427509293681
298.4,308.7,1386,44.9,135,0,True,False,10.300000000000011,62231.4,0.0973323720259553
298.3,308.6,1589,37.1,137,0,False,True,10.300000000000011,58951.9,0.08616352201257861
298.3,308.6,1548,40.3,140,0,True,False,10.300000000000011,62384.399999999994,0.09038089089735313
298.3,308.6,1499,38.3,142,0,True,False,10.300000000000011,57411.7,0.09466666666666666
298.3,308.5,1664,31.6,144,0,True,False,10.199999999999989,52582.4,0.08648648648648649
298.3,308.6,1447,38.1,146,0,True,False,10.300000000000011,55130.700000000004,0.10082872928176796
298.3,308.5,1434,46.2,148,0,False,True,10.199999999999989,66250.8,0.10313588850174216
298.3,308.5,1416,52.7,151,0,True,False,10.199999999999989,74623.2,0.10656316160903317
298.4,308.5,1827,24.3,153,0,False,False,10.100000000000023,44396.1,0.0836980306345733
298.4,308.6,1304,45.0,158,0,True,False,10.200000000000045,58680.0,0.1210727969348659
298.4,308.6,1569,34.4,160,0,True,False,10.200000000000045,53973.6,0.10191082802547771
298.3,308.6,1584,29.3,162,0,True,False,10.300000000000011,46411.200000000004,0.10220820189274447
298.3,308.5,1362,53.8,164,0,True,False,10.199999999999989,73275.59999999999,0.12032281731474688
298.3,308.4,1329,49.2,166,0,True,False,10.099999999999966,65386.8,0.12481203007518797
298.3,308.5,1539,36.1,168,0,True,False,10.199999999999989,55557.9,0.10909090909090909
298.3,308.5,1629,37.1,170,0,False,True,10.199999999999989,60435.9,0.10429447852760736
298.3,308.5,1538,32.2,173,0,True,False,10.199999999999989,49523.600000000006,0.11241065627030539
298.3,308.6,1570,34.8,175,0,True,False,10.300000000000011,54635.99999999999,0.11139401654996817
298.3,308.4,1408,43.1,177,0,True,False,10.099999999999966,60684.8,0.1256210078069553
298.2,308.4,1424,47.6,179,0,True,False,10.199999999999989,67782.40000000001,0.1256140350877193
298.2,308.4,1512,34.9,181,0,True,False,10.199999999999989,52768.799999999996,0.11962987442167879
298.2,308.4,1478,42.9,183,0,True,False,10.199999999999989,63406.2,0.12373225152129817
298.1,308.3,1680,33.7,185,0,False,True,10.199999999999989,56616.00000000001,0.11005353955978585
298.1,308.3,1495,38.7,188,0,True,False,10.199999999999989,57856.50000000001,0.12566844919786097
298.0,308.1,1552,36.6,190,0,False,True,10.100000000000023,56803.200000000004,0.12234385061171925
297.9,308.1,1393,50.3,193,0,True,False,10.200000000000045,70067.9,0.13845050215208035
298.0,308.2,1611,30.6,195,0,True,False,10.199999999999989,49296.600000000006,0.12096774193548387
298.0,308.1,1339,51.6,197,0,False,True,10.100000000000023,69092.40000000001,0.14701492537313432
298.0,308.1,1777,24.3,200,0,True,False,10.100000000000023,43181.1,0.1124859392575928
298.0,308.2,1348,58.8,202,1,True,False,10.199999999999989,79262.4,0.1497405485544848
298.0,308.2,1442,44.1,204,0,True,False,10.199999999999989,63592.200000000004,0.14137214137214138
298.0,308.2,1395,49.1,206,0,False,True,10.199999999999989,68494.5,0.14756446991404013
297.9,308.1,1627,31.4,209,0,False,True,10.200000000000045,51087.799999999996,0.12837837837837837
297.9,308.1,1585,33.5,212,0,True,False,10.200000000000045,53097.5,0.13366960907944514
298.0,308.2,1469,45.5,214,0,True,False,10.199999999999989,66839.5,0.145578231292517
298.0,308.3,1362,56.8,216,1,True,False,10.300000000000011,77361.59999999999,0.15847395451210564
298.0,308.3,1405,56.2,218,1,True,False,10.300000000000011,78961.0,0.155049786628734
298.0,308.3,1662,32.7,0,0,True,False,10.300000000000011,54347.4,0.0
298.0,308.2,1466,42.6,2,0,False,True,10.199999999999989,62451.6,0.0013633265167007499
298.0,308.2,1620,35.8,5,0,True,False,10.199999999999989,57995.99999999999,0.0030845157310302285
298.0,308.2,1357,48.2,7,0,True,False,10.199999999999989,65407.4,0.005154639175257732
298.0,308.2,1514,37.9,9,0,True,False,10.199999999999989,57380.6,0.005940594059405941
298.0,308.2,1489,40.4,11,0,True,False,10.199999999999989,60155.6,0.00738255033557047
298.1,308.3,1331,63.0,13,0,True,False,10.199999999999989,83853.0,0.00975975975975976
298.0,308.0,1615,29.5,15,0,True,False,10.0,47642.5,0.009282178217821782
298.1,308.2,1482,37.9,17,0,True,False,10.099999999999966,56167.799999999996,0.011463250168577209
298.1,308.2,1420,63.9,19,1,False,True,10.099999999999966,90738.0,0.013370865587614356
298.2,308.3,1522,49.1,22,0,False,True,10.100000000000023,74730.2,0.014445173998686802
298.1,308.2,1654,32.1,25,0,True,False,10.099999999999966,53093.4,0.015105740181268883
298.1,308.2,1736,26.8,27,0,False,True,10.099999999999966,46524.8,0.015544041450777202
298.0,308.1,1587,32.3,30,0,False,True,10.100000000000023,51260.1,0.018891687657430732
298.1,308.2,1390,47.5,33,0,True,False,10.099999999999966,66025.0,0.02372393961179008
298.0,308.1,1454,37.1,35,0,True,False,10.100000000000023,53943.4,0.024054982817869417
298.0,308.1,1440,43.7,37,0,False,False,10.100000000000023,62928.00000000001,0.025676613462873005
297.9,308.0,1954,21.1,42,0,True,False,10.100000000000023,41229.4,0.021483375959079284
297.9,308.0,1800,24.8,44,0,False,False,10.100000000000023,44640.0,0.024430871737923375
298.0,308.0,1524,37.0,49,0,True,False,10.0,56388.0,0.032131147540983604
298.0,308.0,1520,39.6,51,0,False,False,10.0,60192.0,0.03353057199211045
298.1,308.1,1452,40.8,56,0,False,True,10.0,59241.6,0.038540949759119064
298.1,308.1,1484,40.4,59,0,True,False,10.0,59953.6,0.03973063973063973
298.1,308.0,1426,46.0,61,0,True,False,9.899999999999977,65596.0,0.042747021723896286
298.1,308.0,1652,28.5,63,0,True,False,9.899999999999977,47082.0,0.038112522686025406
298.0,308.0,1401,54.7,65,0,True,False,10.0,76634.7,0.046362339514978604
298.0,307.9,1750,26.6,67,0,False,True,9.899999999999977,46550.0,0.03826384922901199
298.0,308.0,1479,50.7,70,0,False,False,10.0,74985.3,0.0472972972972973
298.0,308.0,1620,29.4,75,0,False,True,10.0,47628.0,0.04626773596545342
298.0,308.1,1819,23.4,78,0,True,False,10.100000000000023,42564.6,0.04285714285714286
298.1,308.1,1456,43.7,80,0,False,True,10.0,63627.200000000004,0.05490734385724091
298.1,308.0,1626,36.5,83,0,True,False,9.899999999999977,59349.0,0.051014136447449294
298.1,308.1,1390,49.8,85,0,False,True,10.0,69222.0,0.06110711718188354
298.2,308.2,1469,43.0,88,0,True,False,10.0,63167.0,0.05986394557823129
298.2,308.3,2051,19.2,90,0,True,False,10.100000000000023,39379.2,0.043859649122807015
298.2,308.3,1568,36.0,92,0,True,False,10.100000000000023,56448.0,0.058636073932441045
298.2,308.3,1589,33.2,94,0,True,False,10.100000000000023,52754.8,0.05911949685534591
298.2,308.3,1805,31.6,96,0,True,False,10.100000000000023,57038.0,0.053156146179401995
298.2,308.4,1385,42.2,98,0,False,False,10.199999999999989,58447.00000000001,0.0707070707070707
298.1,308.4,1436,46.7,103,0,True,False,10.299999999999955,67061.2,0.07167710508002784
298.1,308.4,1438,45.6,105,0,True,False,10.299999999999955,65572.8,0.0729673384294649
298.0,308.3,1473,42.6,107,0,True,False,10.300000000000011,62749.8,0.07259158751696065
298.1,308.4,1335,40.2,109,0,True,False,10.299999999999955,53667.00000000001,0.0815868263473054
298.1,308.5,1392,44.8,111,0,False,False,10.399999999999977,62361.6,0.07968413496051686
298.1,308.5,1372,51.1,116,0,False,True,10.399999999999977,70109.2,0.08448652585579024
298.1,308.6,1716,30.7,119,0,False,True,10.5,52681.2,0.06930693069306931
298.0,308.5,1395,46.2,122,0,True,False,10.5,64449.00000000001,0.08739255014326648
298.0,308.5,1713,25.3,124,0,True,False,10.5,43338.9,0.07234539089848308
297.9,308.5,2129,18.7,126,0,False,False,10.600000000000023,39812.299999999996,0.059154929577464786
297.8,308.3,1567,35.6,131,0,False,True,10.5,55785.200000000004,0.08354591836734694
297.8,308.4,1622,38.3,134,0,True,False,10.599999999999966,62122.6,0.08256315465187923
297.7,308.4,1740,27.1,136,0,True,False,10.699999999999989,47154.0,0.07811602527283171
297.8,308.4,1512,35.1,138,0,False,False,10.599999999999966,53071.200000000004,0.09120951751487112
297.8,308.4,1479,43.5,143,0,False,True,10.599999999999966,64336.5,0.09662162162162162
297.8,308.4,1737,27.5,146,0,True,False,10.599999999999966,47767.5,0.08400460299194476
297.8,308.4,2129,19.2,148,0,True,False,10.599999999999966,40876.799999999996,0.06948356807511737
